id,organisation,org_type,course_count,career_count,org_id,top_career,top_career_courses
702,Flinders University,University/Higher Education Institution,414,119,702.0,Fitness Instructor,1.0
703,University of South Australia,University/Higher Education Institution,0,0,,,
715,Alliance College,Registered Training Organisation,2,0,,,
729,Adelaide Central School of Art,Higher Education Institutions,2,1,729.0,Artist,1.0
739,Batchelor Institute of Indigenous Tertiary Education,Higher Education Institutions,0,0,,,
742,Charles Darwin University (CDU),University/Higher Education Institution,189,51,742.0,Civil Engineer,1.0
748,Institute for Aboriginal Development (Aboriginal Corporation),Registered Training Organisation,0,0,,,
766,Real Estate Institute of the Northern Territory,Registered Training Organisation,0,0,,,
803,Centre for Appropriate Technology Ltd (CfAT),Registered Training Organisation,0,0,,,
815,TAFE Western Australia Colleges,TAFE Institute,0,0,,,
824,"South Metropolitan TAFE, TAFE WA",TAFE Institute,1,0,,,
830,North Metropolitan TAFE,TAFE Institute,0,0,,,
846,"Central Regional TAFE, TAFE WA",TAFE Institute,0,0,,,
851,Curtin University,University/Higher Education Institution,553,137,851.0,eCommerce Business Owner,1.0
872,Edith Cowan University (ECU),University/Higher Education Institution,236,194,872.0,Accountant,1.0
910,Murdoch University,University/Higher Education Institution,503,115,910.0,Teacher - Secondary,1.0
960,"North Regional TAFE, TAFE WA",TAFE Institute,0,0,,,
964,The University of Western Australia (UWA),University/Higher Education Institution,293,110,964.0,Site Reliability Engineer,1.0
1028,University of Tasmania,University/Higher Education Institution,243,139,1028.0,Teacher - Secondary,1.0
10027,MAX Solutions Pty Ltd,Registered Training Organisation,0,0,,,
10052,WEA Sydney,Registered Training Organisation,0,0,,,
10069,Paramedical Services Pty Ltd,Registered Training Organisation,0,0,,,
10082,Riverina Community College Ltd,Registered Training Organisation,0,0,,,
10092,Booth College,Higher Education Institutions,0,0,,,
10093,Wormald Australia Pty Ltd,Registered Training Organisation,0,0,,,
10109,"Parramatta College Inc, The",Registered Training Organisation,0,0,,,
10110,Raffles College of Design and Commerce,Higher Education Institutions,9,11,10110.0,Fashion Designer,1.0
10112,The Makeup Technicians Pty Ltd,Registered Training Organisation,0,0,,,
10122,Bedford College,Registered Training Organisation,0,0,,,
10128,CASS Training International College,Registered Training Organisation,6,0,,,
10132,HPOTS Training,Registered Training Organisation,0,0,,,
10134,"International College of Management, Sydney",Higher Education Institutions,47,8,10134.0,Property Manager,1.0
10136,Billy Blue College of Design at Torrens University,University/Higher Education Institution,30,15,10136.0,Video Game Designer/Developer,1.0
10137,NSW Rural Fire Service,Registered Training Organisation,0,0,,,
10142,Blue Mountains International Hotel Management School (BMIHMS),Higher Education Institutions,7,5,10142.0,Hotel or Motel Manager,1.0
10147,Queensland School of Film and Television,Registered Training Organisation,0,0,,,
10158,ACAP University College,Higher Education Institutions,26,11,10158.0,Counsellor,1.0
10159,Patrick's College Australia,Registered Training Organisation,0,0,,,
10181,Agforce Training,Registered Training Organisation,0,0,,,
10194,"Queensland Hairdressing Academy, The",Registered Training Organisation,0,0,,,
10207,Advanced School of Beauty Therapy,Registered Training Organisation,0,0,,,
10232,Massage Schools of Queensland,Registered Training Organisation,0,0,,,
10254,Australian Child Care Career Options (Accco) Pty Ltd,Registered Training Organisation,0,0,,,
10258,AUSTRALIA UNITY INSTITUTE OF TECHNOLOGY,Registered Training Organisation,0,0,,,
10263,Central Australian Remote Health Development Services Limited,Registered Training Organisation,0,0,,,
10268,ATEC - Adelaide Training and Employment Centre,Registered Training Organisation,0,0,,,
10288,Volunteering Queensland Inc,Registered Training Organisation,0,0,,,
10305,MW Training Consultants,Registered Training Organisation,0,0,,,
10320,Sydney Institute of Business and Technology (SIBT),Higher Education Institutions,16,6,10320.0,Advertising Account Executive,1.0
10331,Medilife Pty Ltd,Registered Training Organisation,0,0,,,
10333,"Whitehouse Institute of Design, Australia",Higher Education Institutions,3,3,10333.0,Fashion Designer,1.0
10334,St George Careers Development Centre,Registered Training Organisation,0,0,,,
10336,Motor Traders Association of NSW,Registered Training Organisation,0,0,,,
10339,"Real Estate Institute of NSW Ltd, The",Registered Training Organisation,0,0,,,
10349,Kiama Community College Inc,Registered Training Organisation,0,0,,,
10353,Racing Queensland,Registered Training Organisation,0,0,,,
10370,breakthru Community College,Registered Training Organisation,0,0,,,
10376,"Australian Institute of Music (AIM), The",Higher Education Institutions,16,4,10376.0,Musician,1.0
10388,St George & Sutherland Community College Inc,Registered Training Organisation,0,0,,,
10397,Tursa Employment and Training Ltd,Registered Training Organisation,0,0,,,
10406,Parlour Hair Academy,Registered Training Organisation,0,0,,,
10421,"Real Estate Institute of Queensland Ltd, The",Registered Training Organisation,0,0,,,
10422,Institute of Creative Arts and Technology,Higher Education Institutions,11,13,10422.0,Advertising Account Executive,1.0
10427,Workright Australia,Registered Training Organisation,0,0,,,
10429,Australian Higher Education Academy Pty Ltd,Registered Training Organisation,0,0,,,
10432,Novaskill,Registered Training Organisation,0,0,,,
10464,Sterling Business College,Registered Training Organisation,0,0,,,
10473,Australian Institute of Management - Western Australia,Higher Education Institutions,1,1,10473.0,Hospital Administrator,1.0
10474,Cambridge International College (WA) Pty Ltd,Registered Training Organisation,0,0,,,
10490,AMA Training Services,Registered Training Organisation,0,0,,,
10494,Canning College,Registered Training Organisation,24,5,10494.0,Teacher - Secondary,1.0
10511,St John Ambulance (Western Australia) Ltd,Registered Training Organisation,0,0,,,
10524,Mamarapha College Ltd,Registered Training Organisation,0,0,,,
