id,name,school_type,state,web_address,has_destinations,has_naplan
71075,St Mark's College,Combined School - Catholic,N/A,www.stmarkspirie.catholic.edu.au,No,Yes
73126,St Maroun's College,Combined School - Catholic,N/A,www.stmarouns.nsw.edu.au,Yes,Yes
76917,St Mary MacKillop College,Combined School - Catholic,N/A,www.mackillop.wa.edu.au,No,Yes
77310,St Mary Star of the Sea Catholic School,Combined School - Catholic,N/A,www.smsc.wa.edu.au,Yes,Yes
73973,St Mary's Cathedral College,Combined School - Catholic,N/A,www.smccsydney.catholic.edu.au,Yes,Yes
77228,St Mary's Catholic School,Combined School - Catholic,N/A,www.stmaryswellington.catholic.edu.au,Yes,Yes
69387,St Mary's College,Combined School - Catholic,N/A,www.stmaryscollege.com,No,Yes
71575,St Mary's College,Combined School - Catholic,N/A,www.stmarysbroome.wa.edu.au,Yes,Yes
73855,St Mary's College,Combined School - Catholic,N/A,www.smc.tas.edu.au,Yes,Yes
75970,St Mary's College Seymour,Combined School - Catholic,N/A,www.smseymour.catholic.edu.au,Yes,Yes
71478,St Mary's School,Combined School - Catholic,N/A,www.goondiwindi.catholic.edu.au,No,Yes
76114,St Mary’s F-8 School,Combined School - Catholic,N/A,www.smrobinvale.catholic.edu.au,Yes,Yes
77088,St Matthew's Central School,Combined School - Catholic,N/A,www.stmattsmudgee.catholic.edu.au/,Yes,Yes
69058,St Michael's College,Combined School - Catholic,N/A,www.smc.sa.edu.au,No,Yes
70038,St Patrick's College,Combined School - Catholic,N/A,www.stpatricks.qld.edu.au,Yes,Yes
73618,St Patrick's School,Combined School - Catholic,N/A,www.stpatscooma.nsw.edu.au,Yes,Yes
76617,St Philomena's School,Combined School - Catholic,N/A,www.stphilomenasmoree.nsw.edu.au,Yes,Yes
72187,St Pius X College,Combined School - Catholic,N/A,www.spx.nsw.edu.au/,Yes,Yes
74310,St Raphael's Central School,Combined School - Catholic,N/A,www.straphaelscowra.catholic.edu.au,Yes,Yes
74713,St Stephen's Catholic College,Combined School - Catholic,N/A,www.sscc.qld.edu.au,No,Yes
75678,St Virgil's College,Combined School - Catholic,N/A,www.stvirgils.tas.edu.au,No,Yes
70077,Star of the Sea Catholic College,Combined School - Catholic,N/A,www.starsea.tas.edu.au,No,Yes
68989,Tenison Woods College,Combined School - Catholic,N/A,www.tenison.catholic.edu.au,No,Yes
76901,Trinity College,Combined School - Catholic,N/A,www.trinity.wa.edu.au,No,Yes
70265,Unity College,Combined School - Catholic,N/A,www.uc.qld.edu.au,No,Yes
75180,Ursula Frayne Catholic College,Combined School - Catholic,N/A,www.ufcc.wa.edu.au/,No,Yes
73509,Villanova College,Combined School - Catholic,N/A,www.vnc.qld.edu.au,No,Yes
75138,Xavier Catholic College,Combined School - Catholic,N/A,www.xavier.qld.edu.au,No,Yes
72481,Adelaide River School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/adelaide-river-school,Yes,Yes
73353,Alamanda College,Combined School - Government,N/A,www.alamandacollege.vic.edu.au,Yes,Yes
71818,Alcoota School,Combined School - Government,N/A,https://www.teachintheterritory.nt.gov.au/schools/alcoota-school,Yes,Yes
85617,Aldinga Payinthi College,Combined School - Government,N/A,www.aldingapayinthicollege.sa.edu.au,No,No
68295,Alekarenge School,Combined School - Government,N/A,https://www.nationwide.com.au/alekarengeschool/,Yes,Yes
76541,Alexandria Park Community School,Combined School - Government,N/A,https://alexparkcs-c.schools.nsw.gov.au/,Yes,Yes
