organisation_id,organisation_name,total_courses,pct_undergraduate,pct_postgraduate,pct_vet_vocational,pct_secondary,faculty_count,avg_domestic_fee,min_domestic_fee,max_domestic_fee,free_tafe_count,avg_ielts_requirement,pct_courses_with_ielts,courses_with_atar,atar_min,atar_max,atar_median,pct_with_alternate_entry,career_diversity,top_5_careers,top_anzsco_group,top_anzsco_group_pct,stem_career_pct,health_career_pct,education_career_pct,business_finance_career_pct
85359,AUSTRALIAN MANAGEMENT COLLEGE PTY LTD,3,0.0,0.0,0.0,0.0,0,,,,0,5.5,33.3,0,,,,0.0,2,General Manager | Office Administrator,Clerical & Administrative,50.0,0.0,0.0,0.0,0.0
66391,AUSTRALIAN PROFESSIONAL TRAINING ACADEMY,22,0.0,0.0,13.6,0.0,2,,,,0,0.0,100.0,0,,,,0.0,15,Automotive Electrician | Motor Mechanic - Car | Aged Care Worker | Community Worker | Heavy Vehicle Motor Mechanic,Technicians & Trades,48.7,0.0,30.8,0.0,2.6
85303,AUSTRALIAN SCHOOL OF BUSINESS AND TRADE PTY LTD,6,0.0,0.0,0.0,0.0,0,,,,0,5.5,16.7,0,,,,0.0,4,General Manager | Chef | Cook | Office Administrator,Managers,40.0,0.0,0.0,0.0,0.0
67204,AUSTRALIAN SMART COLLEGE PTY LTD,3,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,2,Office Administrator | General Manager,Clerical & Administrative,66.7,0.0,0.0,0.0,0.0
84598,AUSTRALIAN SOVEREIGN COLLEGE,25,0.0,0.0,12.0,0.0,3,11050.0,199.0,21000.0,0,1.2,100.0,0,,,,0.0,24,Motor Mechanic - Car | Community Worker | Automotive Electrician | Heavy Vehicle Motor Mechanic | General Manager,Technicians & Trades,66.7,4.4,17.8,0.0,4.4
67221,AUSTRALIAN TECHNO MANAGEMENT COLLEGE PTY LTD,10,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,11,General Manager | Information Technology Support Technician | Platform Engineer | Site Reliability Engineer | Technical Program Manager,Technicians & Trades,50.0,18.8,0.0,0.0,0.0
67316,AUSTRALIAN TRAINING AND EDUCATION COLLEGE PTY LTD,3,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Office Administrator,Clerical & Administrative,100.0,0.0,0.0,0.0,0.0
67473,AUSTRALIAN ULTIMATE TRAINING COLLEGE PTY LTD,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Construction Worker,Labourers,100.0,0.0,0.0,0.0,0.0
85120,AUSTRALIAN VIRTUS INSTITUTE,16,0.0,0.0,18.8,0.0,2,2569.0,1200.0,5800.0,0,3.83,18.8,0,,,,0.0,14,Community Worker | Aged Care Worker | Information Technology Support Technician | Platform Engineer | Project and Program Administrator,Community & Personal Service,60.0,9.4,46.9,0.0,6.2
67205,AUSTRASIA COLLEGE PTY. LTD.,7,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,4,General Manager | Carpenter | Electronics and Communications Technician | Office Administrator,Technicians & Trades,40.0,0.0,0.0,0.0,0.0
11717,AUSTSWIM,1,0.0,0.0,100.0,0.0,1,214.0,214.0,214.0,0,,0.0,0,,,,0.0,1,Occupational Health and Safety Officer,Professionals,100.0,0.0,100.0,0.0,0.0
