organisation_id,name,org_type,state,suburb,postcode,latitude,longitude,sa2_code,sa2_name,sa3_code,sa3_name,lga_code,lga_name
68052,Radix Education Pty Ltd,Registered Training Organisation,ACT,PHILLIP,2606.0,-35.3543566,149.0887595,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
66662,Raytheon Australia Pty Ltd,Registered Training Organisation,ACT,Canberra Airport,2609.0,-35.3111913,149.1895971,801031114,Canberra Airport,80103,Canberra East,89399,Unincorporated ACT
86289,Risk Training Professionals Pty Ltd,Registered Training Organisation,ACT,Canberra,2601.0,-35.2774,149.1282,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66153,Robson Environmental Pty Ltd,Registered Training Organisation,ACT,Fyshwick,2609.0,-35.3255187,149.1817372,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
67949,Safenet,Registered Training Organisation,ACT,FYSHWICK,2609.0,-35.329,149.174,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
66446,Smartlink Training Pty Ltd,Registered Training Organisation,ACT,PHILLIP,2606.0,-35.3516111,149.0890891,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
65775,Sutton Road Training Centre,Registered Training Organisation,ACT,Majura,2609.0,-35.3225608,149.2391561,801031115,Majura,80103,Canberra East,89399,Unincorporated ACT
86072,Tanabell Education Pty Ltd,Registered Training Organisation,ACT,Dickson,2602.0,-35.2496532177,149.1366046208,801051054,Dickson,80105,North Canberra,89399,Unincorporated ACT
66669,Tanner James Management Consultants Pty Ltd,Registered Training Organisation,ACT,Canberra,2601.0,-35.281102,149.125315,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
85452,Technical Institute of Canberra Pty Ltd,Registered Training Organisation,ACT,FYSHWICK,2609.0,-35.3318278,149.171935,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
188,The Australian National University (ANU),University/Higher Education Institution,ACT,CANBERRA,2600.0,-35.2778381,149.1207986,801051049,Acton,80105,North Canberra,89399,Unincorporated ACT
66231,The Canberra Training School Pty Ltd,Registered Training Organisation,ACT,GUNGAHLIN,2912.0,-35.1820256,149.1326556,801041040,Gungahlin,80104,Gungahlin,89399,Unincorporated ACT
13539,Transformed Pty Ltd,Registered Training Organisation,ACT,MCKELLAR,2617.0,-35.2116762,149.0831453,801011021,McKellar,80101,Belconnen,89399,Unincorporated ACT
13323,Unity College Australia,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2403675,149.067005,801011002,Belconnen,80101,Belconnen,89399,Unincorporated ACT
191,University of Canberra,University/Higher Education Institution,ACT,Bruce,2617.0,-35.2385258,149.0902309,801011003,Bruce,80101,Belconnen,89399,Unincorporated ACT
11709,UNSW Canberra at the Australian Defence Force Academy (UNSW Canberra at ADFA),Higher Education Institutions,ACT,CAMPBELL,2612.0,-35.2926761,149.1617344,801051125,Duntroon,80105,North Canberra,89399,Unincorporated ACT
85956,Wentworth Institute of Higher Education Pty Ltd,Higher Education Institutions,ACT,Canberra,2601.0,-35.2762077327,149.1279670452,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66664,Wisdom Learning,Registered Training Organisation,ACT,Fairbairn,2609.0,-35.3019313,149.20543,801031114,Canberra Airport,80103,Canberra East,89399,Unincorporated ACT
13697,"Wise Academy Pty Ltd, The",Registered Training Organisation,ACT,NICHOLLS,2913.0,-35.1927073,149.0865622,801041047,Nicholls,80104,Gungahlin,89399,Unincorporated ACT
65805,YWCA of Canberra,Registered Training Organisation,ACT,Canberra,2601.0,-35.2762178,149.1291491,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
67936,001 AAA ABSOLUTE Education,Registered Training Organisation,NSW,Dee Why,2099.0,-33.7577964,151.299326,122031694,Dee Why (South) - North Curl Curl,12203,Warringah,15990,Northern Beaches
66328,101 EDUCATION PTY LTD,Registered Training Organisation,NSW,Tennyson Point,2111.0,-33.8336988,151.1172687,126021498,Gladesville - Huntleys Point,12602,Ryde - Hunters Hill,16700,Ryde
66878,121 Driver Training Pty Ltd,Registered Training Organisation,NSW,Dee Why,2099.0,-33.7540985,151.291683,122031695,Dee Why - North,12203,Warringah,15990,Northern Beaches
84912,18fifty3 Training,Registered Training Organisation,NSW,SURRY HILLS,2010.0,-33.8797834,151.2099244,117031336,Surry Hills,11703,Sydney Inner City,17200,Sydney
66288,3Bridges Community Limited,Registered Training Organisation,NSW,Carss Park,2221.0,-33.9862732,151.1195976,119031374,South Hurstville - Blakehurst,11903,Hurstville,12930,Georges River
66734,3D Safety Services Pty Ltd,Registered Training Organisation,NSW,Botany,2019.0,-33.9502115,151.2017886,117011321,Botany,11701,Botany,10500,Bayside (NSW)
67999,3M Australia Pty Ltd,Registered Training Organisation,NSW,NORTH RYDE,2113.0,-33.7971159,151.1394094,126021501,North Ryde - East Ryde,12602,Ryde - Hunters Hill,16700,Ryde
16523,5 Star Training & Consulting Pty Ltd,Registered Training Organisation,NSW,MOUNT RIVERVIEW,2774.0,-33.7270531,150.6380421,124011450,Blaxland - Warrimoo - Lapstone,12401,Blue Mountains,10900,Blue Mountains
67747,5TH POINT PTY LTD,Registered Training Organisation,NSW,Davidson,2085.0,-33.7435024,151.1993392,122031696,Frenchs Forest - Oxford Falls,12203,Warringah,15990,Northern Beaches
66650,A Grade Education and Training Pty Limited,Registered Training Organisation,NSW,Baulkham Hills,2153.0,-33.7307136,150.9716435,115011291,Baulkham Hills (West) - Bella Vista,11501,Baulkham Hills,17420,The Hills
85390,A&B FIRST AID TRAINING PTY LTD,Registered Training Organisation,NSW,ST MARYS,2760.0,-33.7672894,150.7740539,124051581,St Marys - North St Marys,12405,St Marys,16350,Penrith
67738,AAA Training Specialists,Registered Training Organisation,NSW,Parramatta,2150.0,-33.8154426,150.9992456,125041717,Parramatta - North,12504,Parramatta,16260,Parramatta
13294,AAMC Training Group Pty Ltd,Registered Training Organisation,NSW,PARRAMATTA,2150.0,-33.8153138,151.0093408,125041717,Parramatta - North,12504,Parramatta,16260,Parramatta
66757,Abbey College Australia,Registered Training Organisation,NSW,Sydney,2000.0,-33.8806813,151.2052483,117031645,Sydney (South) - Haymarket,11703,Sydney Inner City,17200,Sydney
66357,Abbey Road Institute,Registered Training Organisation,NSW,Mascot,2020.0,-37.8273445,144.9669056,206041509,Southbank - East,20604,Melbourne City,24600,Melbourne
66745,Aboriginal Health College,Registered Training Organisation,NSW,Surry Hills,2010.0,-33.8793123,151.2102897,117031336,Surry Hills,11703,Sydney Inner City,17200,Sydney
66988,ABOVE THE LINE SAFETY SOLUTIONS PTY LTD,Registered Training Organisation,NSW,Tomerong,2540.0,-35.0546503,150.5885019,114011281,Tomerong - Wandandian - Woollamia,11401,Shoalhaven,16950,Shoalhaven
65898,AbSec Learning and Development Centre,Registered Training Organisation,NSW,MARRICKVILLE,2204.0,-33.9169263,151.1572744,117021637,Marrickville - South,11702,Marrickville - Sydenham - Petersham,14170,Inner West
17497,Absolute Forklift Training Pty Ltd,Registered Training Organisation,NSW,SEVEN HILLS,2147.0,-33.7668604,150.9539249,116011307,Lalor Park - Kings Langley,11601,Blacktown,10750,Blacktown
66810,Acacia Education & Training,Registered Training Organisation,NSW,Faulconbridge,2776.0,-33.6936134,150.5480396,124011454,Springwood - Winmalee,12401,Blue Mountains,10900,Blue Mountains
84967,Academia of Trade Pty Ltd,Registered Training Organisation,NSW,PARRMATTA,2150.0,-33.81917,151.00569,125041717,Parramatta - North,12504,Parramatta,16260,Parramatta
17908,Academic Pavilion,Registered Training Organisation,NSW,EAST TAMWORTH,2340.0,-31.0943321,150.9448079,110041203,Tamworth - North,11004,Tamworth - Gunnedah,17310,Tamworth
85958,Academics Australia Pty Ltd,Registered Training Organisation,NSW,GRANVILLE,2142.0,-33.8344742786,151.0106068715,125031481,Granville - Clyde,12503,Merrylands - Guildford,12380,Cumberland
66721,Academie Accor,Registered Training Organisation,NSW,Sydney,2000.0,-33.8666763,151.2083773,117031644,Sydney (North) - Millers Point,11703,Sydney Inner City,17200,Sydney
12864,Academies Australasia Institute Pty Ltd,Registered Training Organisation,NSW,SYDNEY,2000.0,-33.8750995,151.2059774,117031645,Sydney (South) - Haymarket,11703,Sydney Inner City,17200,Sydney
66618,Academy Green Learning,Registered Training Organisation,NSW,INGLEBURN,2565.0,-33.9975364,150.8577557,123021705,Ingleburn,12302,Campbelltown (NSW),11500,Campbelltown (NSW)
66698,Academy Holdings Pty Ltd,Registered Training Organisation,NSW,FAIRY MEADOW,2519.0,-34.3875256,150.8946836,107041144,Balgownie - Fairy Meadow,10704,Wollongong,18450,Wollongong
85831,Academy of English,ELICOS/Foundation,NSW,SYDNEY,2000.0,-33.8751297,151.2038307,117031645,Sydney (South) - Haymarket,11703,Sydney Inner City,17200,Sydney
67389,ACADEMY OF ENTREPRENEURS PTY. LTD.,Registered Training Organisation,NSW,PYRMONT,2009.0,-33.8707403,151.19744,117031641,Pyrmont,11703,Sydney Inner City,17200,Sydney
13257,Academy of Film Theatre and Television,Registered Training Organisation,NSW,SURRY HILLS,2010.0,-33.8857816,151.2090148,117031336,Surry Hills,11703,Sydney Inner City,17200,Sydney
12613,Academy of Interactive Technology Pty Ltd,Higher Education Institutions,NSW,ULTIMO,2007.0,-33.8819583,151.1954008,117031646,Ultimo,11703,Sydney Inner City,17200,Sydney
85125,Academy of Mental Health and Counselling Pty Ltd,Registered Training Organisation,NSW,MAROUBRA,2035.0,-33.9402587,151.2363525,118021568,Maroubra - West,11802,Eastern Suburbs - South,16550,Randwick
11817,Academy of Music and Performing Arts,Higher Education Institutions,NSW,SURRY HILLS,2010.0,-33.8872468,151.2069202,117031336,Surry Hills,11703,Sydney Inner City,17200,Sydney
66991,Academy of Road Safety,Registered Training Organisation,NSW,THE PONDS,2769.0,-33.7041657,150.9010075,116021632,Schofields - East,11602,Blacktown - North,10750,Blacktown
67934,Academy of Surfing Instructors Pty Ltd,Registered Training Organisation,NSW,Bondi Beach,2026.0,-33.8901126,151.2732957,118011340,Bondi Beach - North Bondi,11801,Eastern Suburbs - North,18050,Waverley
13346,Academy of Training Pty Ltd,Registered Training Organisation,NSW,GREENACRE,2190.0,-33.9070107,151.0465441,119011656,Greenacre - South,11901,Bankstown,11570,Canterbury-Bankstown
67291,Academy Of Workplace Learning Pty Ltd,Registered Training Organisation,NSW,MIRANDA,2228.0,-34.0395357,151.1015886,128011530,Miranda - Yowie Bay,12801,Cronulla - Miranda - Caringbah,17150,Sutherland
66450,Access Knowledge,Registered Training Organisation,NSW,SEVEN HILLS,2147.0,-33.7690986,150.9439157,116011307,Lalor Park - Kings Langley,11601,Blacktown,10750,Blacktown
12733,accessUTS,Registered Training Organisation,NSW,ULTIMO,2007.0,-33.8835779,151.2009593,117031646,Ultimo,11703,Sydney Inner City,17200,Sydney
67998,Accredited Civil Training Pty Limited,Registered Training Organisation,NSW,MILPERRA,2214.0,-33.942859,150.99561,119011356,Condell Park,11901,Bankstown,11570,Canterbury-Bankstown
66805,"Accredited Training, Licensing & Assessment Services Pty Ltd",Registered Training Organisation,NSW,Llandilo,2747.0,-33.696591,150.7778771,124031708,Jordan Springs - Llandilo,12403,Penrith,16350,Penrith
12174,ACE Community Colleges Ltd,Registered Training Organisation,NSW,LISMORE,2480.0,-28.809441,153.2765303,112021248,Lismore,11202,Richmond Valley - Hinterland,14850,Lismore
67933,ACE Forklift Assessing,Registered Training Organisation,NSW,Padstow,2211.0,-33.9408879,151.0334537,119011358,Padstow,11901,Bankstown,11570,Canterbury-Bankstown
67045,ACE NURSE SCHOOL,Registered Training Organisation,NSW,DEE WHY,2099.0,-33.7536474,151.2862056,122031695,Dee Why - North,12203,Warringah,15990,Northern Beaches
12641,Achieve Training & Assessment Services,Registered Training Organisation,NSW,PORT KEMBLA,2505.0,-34.4740953,150.8886656,107011133,Port Kembla Industrial,10701,Dapto - Port Kembla,18450,Wollongong
68191,ACHIEVEMENT INSTITUTE AUSTRALIA (AIA) PTY LTD,Registered Training Organisation,NSW,WOLLONGONG,2500.0,-34.4203254,150.8850003,107041549,Wollongong - West,10704,Wollongong,18450,Wollongong
66268,ACIM Solutions,Registered Training Organisation,NSW,Eleebana,2282.0,-32.996248,151.6447196,111011213,Valentine - Eleebana,11101,Lake Macquarie - East,14650,Lake Macquarie
66401,ACOD,Registered Training Organisation,NSW,Seaforth,2092.0,-33.7980046,151.2513188,122011418,Balgowlah - Clontarf - Seaforth,12201,Manly,15990,Northern Beaches
66397,Acquire Training Solutions Pty Ltd,Registered Training Organisation,NSW,SYDNEY,2000.0,-33.8652837,151.205528,117031644,Sydney (North) - Millers Point,11703,Sydney Inner City,17200,Sydney
17651,Action Training Academy,Registered Training Organisation,NSW,RANDWICK,2031.0,-33.9256571,151.2431765,118021570,Randwick - South,11802,Eastern Suburbs - South,16550,Randwick
66749,Active Career College,Registered Training Organisation,NSW,Penrith,2750.0,-33.7522724,150.6952014,124031464,Penrith,12403,Penrith,16350,Penrith
67848,Active Training & Assessments P/L,Registered Training Organisation,NSW,Coramba,2450.0,-30.1934688,153.0460102,104021086,Coramba - Nana Glen - Bucca,10402,Coffs Harbour,11800,Coffs Harbour
67855,Actors Centre Australia,Registered Training Organisation,NSW,Leichhardt,2040.0,-33.8871623,151.1576253,120021675,Leichhardt,12002,Leichhardt,14170,Inner West
13809,AD1 College,Registered Training Organisation,NSW,Kogarah,2217.0,-35.4734679,149.0123679,801111140,ACT - South West,80111,Uriarra - Namadgi,89399,Unincorporated ACT
67706,ADAS,Registered Training Organisation,NSW,Dunoon,2480.0,-28.7037091,153.3289822,112021249,Lismore Surrounds,11202,Richmond Valley - Hinterland,14850,Lismore
67733,Adept Engineering Australia,Registered Training Organisation,NSW,BELMONT NORTH,2280.0,-33.0223963,151.6644666,111011206,Belmont - Bennetts Green,11101,Lake Macquarie - East,14650,Lake Macquarie
13122,Adept Training,Registered Training Organisation,NSW,HARRIS PARK,2150.0,-33.8227731,151.0103186,125041719,Rosehill - Harris Park,12504,Parramatta,16260,Parramatta
67847,Admire Workplace Safety Pty Ltd,Registered Training Organisation,NSW,Moss Vale,2577.0,-34.5481319,150.3732644,114021287,Moss Vale - Berrima,11402,Southern Highlands,18350,Wingecarribee
66881,Adult Education & Vocational Training Institute,Registered Training Organisation,NSW,Berkshire Park,2765.0,-33.6499674,150.7832317,124041468,Yarramundi - Londonderry,12404,Richmond - Windsor,16350,Penrith
85449,Advance Australia International College Pty Ltd,Registered Training Organisation,NSW,GOSFORD,2250.0,-33.4243888,151.3439026,102011032,Gosford - Springfield,10201,Gosford,11650,Central Coast (NSW)
85832,Advance English,ELICOS/Foundation,NSW,Ashfield,2131.0,-33.8902586,151.1233065,120031677,Ashfield - South,12003,Strathfield - Burwood - Ashfield,14170,Inner West
13815,Advance OH&S Consultancy & Training,Registered Training Organisation,NSW,VILLAWOOD,2163.0,-33.8813658,150.986495,125031479,Chester Hill - Sefton,12503,Merrylands - Guildford,11570,Canterbury-Bankstown
